,Coefficient,magnitude
nmme-prate-34w__nmmemean,6.535754126134594,6.535754126134594
nmme-tmp2m-34w__nmmemean,6.005310232777337,6.005310232777337
wind-hgt-500-2010-1,4.259690107168255,4.259690107168255
nmme0-prate-56w__nmme0mean,3.4993147867873815,3.4993147867873815
nmme0-tmp2m-34w__nmme0mean,3.301395084423197,3.301395084423197
nmme0-tmp2m-34w__cancm40,-3.2390822266858352,3.2390822266858352
nmme0-prate-34w__nmme0mean,3.2300179495303833,3.2300179495303833
contest-slp-14d__slp,-2.9159426542815408,2.9159426542815408
nmme-tmp2m-56w__gfdlflorb,2.839424110306496,2.839424110306496
nmme-prate-56w__nmmemean,2.780530005476983,2.780530005476983
nmme-tmp2m-56w__cancm3,-2.2052283081620994,2.2052283081620994
wind-vwnd-925-2010-1,-2.1539709830602924,2.1539709830602924
wind-hgt-100-2010-1,-2.1469661999117027,2.1469661999117027
nmme0-tmp2m-34w__gfdlflorb0,-2.053180714141899,2.053180714141899
contest-wind-h500-14d__wind-hgt-500,2.0471083571585966,2.0471083571585966
nmme-tmp2m-34w__nasa,1.9388493945444938,1.9388493945444938
nmme-tmp2m-56w__nasa,-1.8678036990941023,1.8678036990941023
nmme-tmp2m-34w__cancm4,-1.8007207410331278,1.8007207410331278
gfdlflora0,1.7999044524729806,1.7999044524729806
nmme-tmp2m-56w__gfdl,-1.7980533046452323,1.7980533046452323
wind-uwnd-250-2010-1,-1.7277929258412632,1.7277929258412632
contest-wind-h850-14d__wind-hgt-850,1.63062505822343,1.63062505822343
sst-2010-1,-1.5470964684354724,1.5470964684354724
wind-hgt-100-2010-3,-1.5164947093196637,1.5164947093196637
wind-hgt-10-2010-7,1.500142054881487,1.500142054881487
ccsm40,-1.4987502480023356,1.4987502480023356
nmme-tmp2m-34w__gfdl,-1.4971435403105167,1.4971435403105167
nmme-tmp2m-56w__cfsv2,1.4510529569777475,1.4510529569777475
wind-hgt-10-2010-1,-1.3871181162633,1.3871181162633
wind-hgt-10-2010-5,1.2787359333775665,1.2787359333775665
cancm30,1.2691731865703366,1.2691731865703366
climateregions__climateregion_BWh,1.243982079361478,1.243982079361478
icec-2010-1,-1.171459797269922,1.171459797269922
wind-hgt-100-2010-4,-1.1563925449478285,1.1563925449478285
gfdlflorb0,-1.1502678639995596,1.1502678639995596
nmme-prate-34w__cfsv2,-1.084105231244492,1.084105231244492
nmme-tmp2m-34w__cfsv2,-1.0558197028471046,1.0558197028471046
contest-pres-sfc-gauss-14d__pres,1.0375928703137018,1.0375928703137018
nmme-tmp2m-34w__cancm3,1.0335666060526476,1.0335666060526476
